"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/?show_page_exec_time=N&show_include_exec_time=N&show_sql_stat=N&back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=48&type=www&lang=ru&find_el_y=Y&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"2";"219.0";
"http://sstu.ru/?show_page_exec_time=Y&show_include_exec_time=Y&show_sql_stat=Y&back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=48&type=www&lang=ru&find_el_y=Y&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"9.0";
"http://sstu.ru/?sl=0";"http://sstu.ru/";"388";"15282.0";
"http://sstu.ru/?sl=1";"http://sstu.ru/";"522";"11400.0";
"http://sstu.ru/?sphrase_id=57462";"http://sstu.ru/";"2";"42.0";
"http://sstu.ru/?sphrase_id=66459";"http://sstu.ru/";"1";"21.0";
"http://sstu.ru/ABITURIENTU/V-O/2015/PORYADOK-I-MESTA-REGISTRATSII-NA-SDACHU-EG";"http://sstu.ru/";"2";"41.0";
"http://sstu.ru/IT";"http://sstu.ru/";"1";"8.0";
"http://sstu.ru/`РАСПИСАНИЕ";"http://sstu.ru/";"2";"35.0";
"http://sstu.ru/abiturient";"http://sstu.ru/";"7";"270.0";
"http://sstu.ru/abiturient";"http://sstu.ru/";"37708";"1323452.0";
"http://sstu.ru/abiturientu/10-prichin-uchitsya-v-sgtu.php";"http://sstu.ru/";"174";"14553.0";
"http://sstu.ru/abiturientu/10-prichin-uchitsya-v-sgtu.php?sphrase_id=45857";"http://sstu.ru/";"2";"2236.0";
"http://sstu.ru/abiturientu/?back_url_admin=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/abiturientu/?back_url_admin=/bitrix/admin/iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=102&bitrix_include_areas=N";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/abiturientu/?bitrix_include_areas=N";"http://sstu.ru/";"2";"14.0";
"http://sstu.ru/abiturientu/?clear_cache=Y";"http://sstu.ru/";"8";"89.0";
"http://sstu.ru/abiturientu/dni-otkrytykh-dverey.php";"http://sstu.ru/";"3542";"300567.0";
